x y
1 590
2 976
3 998
4 604
5 732
6 513
7 475
8 528
9 491
10 535
11 407
12 552
13 643
14 629
15 452
16 540
17 528
18 715
19 648
20 609
21 597
22 668
23 625
24 533
25 768
26 388
27 110
28 131
29 393
30 567
31 625
32 862
33 492
34 151
35 47
36 413
37 702
38 545
39 808
40 486
41 469
42 502
43 612
44 627
45 573
46 408
47 544
48 628
49 391
50 602
51 276
52 290
53 415
54 297
55 436
56 452
57 422
58 573
59 503
60 512
61 373
62 437
63 299
64 366
